;;;;;;
;Paper ID;Compuesto;Número de C;Temperatura [K];Presión [kPa];
;P27;hexatriacontano;36;503;0,0211;
;P27;hexatriacontano;36;507;0,0271;
;P27;hexatriacontano;36;510;0,0327;
;P27;hexatriacontano;36;513;0,0401;
;P27;heptatriacontano;37;471;0,000961;
;P27;heptatriacontano;37;474;0,00128;
;P27;heptatriacontano;37;476;0,0016;
;P27;heptatriacontano;37;478;0,00176;
;P27;heptatriacontano;37;481;0,00224;
;P27;heptatriacontano;37;485;0,00352;
;P27;heptatriacontano;37;487;0,00401;
;P27;heptatriacontano;37;490;0,00481;
;P27;heptatriacontano;37;493;0,00609;
;P27;heptatriacontano;37;495;0,00721;
;P27;heptatriacontano;37;497;0,00817;
;P27;heptatriacontano;37;499;0,00993;
;P27;heptatriacontano;37;501;0,0112;
;P27;heptatriacontano;37;505;0,0151;
;P27;heptatriacontano;37;507;0,017;
;P27;heptatriacontano;37;510;0,0208;
;P27;octatriacontano;38;471;0,000641;
;P27;octatriacontano;38;475;0,000961;
;P27;octatriacontano;38;478;0,00128;
;P27;octatriacontano;38;482;0,00176;
;P27;octatriacontano;38;485;0,00208;
;P27;octatriacontano;38;487;0,00256;
;P27;octatriacontano;38;490,5;0,0032;
;P27;octatriacontano;38;493;0,00385;
;P27;octatriacontano;38;495;0,00449;
;P27;octatriacontano;38;500;0,00673;
;P27;octatriacontano;38;503;0,00881;
;P27;octatriacontano;38;506;0,0115;
;P27;octatriacontano;38;511;0,0167;
;;;;;;
